"Submission Date","","","Name as many attractions as you can that had FastPass+ as of March 1, 2020 (i.e., before the parks closed).","","Children leaving this location are given a bookmark to commemorate their visit","Belle and Aurora trade off meeting at this Epcot pavilion","This Hollywood Studios restaurant features a princess, among other characters","Jasmine can often be found with Aladdin at a space in this Adventureland shopping area","One princess was evicted to make way for four in this location that opened in 2013","Originally named after the King from a 1959 film","","This seasonally themed location took the space of an entire Epcot pavilion expansion pad","This closed location featured North American animals","It’s original location opened in 1996 relatively close to its current location that opened in 2012","This location is based on a fortress from the 13th Century","You’ll be wishing you’d bought some caramel corn right next door while waiting for Snow White at this pavilion","This location was once called Spoodles","","","Horizons - 1983","Splash Mountain - 2018","Spaceship Earth - 1982","Space Mountain - 1975","The Land - 1982","The Living Seas - 1986","IllumiNations: Reflections of Earth - 2007","Captain Eo - 1986","","it’s a small world - 1991","Enchanted Tiki Room - 1971","Tomorrowland Transit Authority - 2005","Wonders of Life - 1989","World of Motion - 1982","Rock’n’Rollercoaster - 2008","Dinosaur - 1998","If You Had Wings - 1972","","","Person #1","Person #2","Person #3 (or at least, who this *should* be)","Person #4","Person #5","Person #6","","Person #7","Person #8","Person #9","Person #10","Person #11","Person #12","","Person #13","Person #14","Person #15","Person #16","Person #17","Person #18",""
"2020-07-08 12:28:09","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Expedition Everest
 Safari
 Kali river rapids
 Navi river
 Flight of passage
 Dinosaur
 Festival of lion king
 Nemo
 Bird show
 Bugs life
 Prime veal whirl
 Toy story
 Stinky dog
 Smugglers run
 Frozen ever after
 Muppets 3D
 Indiana Jones show
 Star tours
 Rock and roller coaster
 Beauty and the beast show
 Tower of terror
 The little mermaid show
 Alien swirling saucers
 So aria test tesck
 ","Time remaining: 00:00","","Princess meet and greet","Hollywood and vine","Agraba","Snow white","Cinderella","Time remaining: 00:00","Elsa","","","Norway pa illon","Germany pavillon","","Time remaining: 00:00","Time remaining: 01:54","","Ziplock","Siemens ","","","","","","Time remaining: 01:54","","Dole","","","","","","","Time remaining: 01:54","Time remaining: 04:52","","Neil Patrick harris","Ellen degeneres ","Martin short","Gilbert godfrey","Robin williams","Time remaining: 04:52","","","","","Michal jackson","Kramer","Time remaining: 04:52","","","","","","","Time remaining: 04:51"
"2020-07-06 18:34:19","Time remaining: 00:00","Time remaining: 00:00","Seven dwarves mine train
 Big thunder mtn
 Splash mointain
 Space mountain
 Avatar
 Test track
 Winnie the pooh
 Frozen ever after
 Mickey and Minnie runaway minetrain
 Tower of terror
 Millennium falcon
 Muppets 
 Rockin rollercoaster
 Rise of resistemace
 SlinkY dog
 Aliens
 Midway mania
 Star tours
 ","Time remaining: 00:00","Belle meet and greet","France ","","Agrabah","Princess fairytale hall","","Time remaining: 00:00","World showplace","","","","Germany","","Time remaining: 00:00","Time remaining: 00:00","Ge","Ziploc","Bell","Rca","Kraft","United tech","Siemans","Kodak ","Time remaining: 00:00","Mattel","","","","","Hanes","Mcdonalds ","","Time remaining: 00:00","Time remaining: 02:08","Patrick warburton","Neil Patrick Harris ","","Martin short","Gilbert godfreid","Robin williams","Time remaining: 02:08","","Phylicia Rashad","","","Michael jackson","","Time remaining: 02:08","Judy dench","Rhea perlmam","","","Jon lovitz","","Time remaining: 02:08"
"2020-07-06 18:11:01","Time remaining: 00:00","Time remaining: 00:00","Haunted Mansion
 Pirates of The Caribbean
 Splash Mountain
 Big Thunder Mountain
 Spaceship Earth
 Mission Space
 Test Track
 Soarin
 Frozen Ever After
 Grand Fiesta Tour
 Living with the Land
 Journey into Imagination
 Expedition Everest
 Dinosaur
 Flight of Passage
 Monster's Inc Laugh Floor
 Buzz Lightyear's Space Ranger Spin
 Tomorrowland Speedway
 Seven Dwarf's Mine Train
 Voyage of the Little Mermaid
 Peter Pan's Flight
 It's a Small World
 Jungle Cruise","Time remaining: 00:00","","France","Hollywood & Vine","Adventureland Bazaar","Fairy tale Hall","","Time remaining: 00:00","Summerhouse","","","","Germany","","Time remaining: 00:00","Time remaining: 00:57","GE","","Bell","RCA","Kraft","United Technology","Siemens","","Time remaining: 00:57","Pepsi","Dole","Goodyear","Metlife","General Motors","","McDonalds","Eastern Airways","Time remaining: 00:57","Time remaining: 05:06","Patrick Warburt","Neil Patrick Harris","Ellen Degeneres","Martin Short","","","Time remaining: 05:06","","","","","Micheal Jackson","","Time remaining: 05:06","","","","","","","Time remaining: 05:06"
"2020-07-06 18:07:08","Time remaining: 00:00","Time remaining: 00:00","Tower of terror
 Rock n rollercoaster
 Space mountain
 Splash mountain
 Big thunder mountain
 Peter pans flight
 Buzz Lightyear
 Toy story mania
 Slinky dog dash
 Muppet vision 3d
 Star tours
 Flight of passage
 Navi river journey
 Festival of the lion king
 Kilimanjaro safaris
 Dinosaur
 Expedition Everest
 Pirates of the Caribbean
 Seven dwarfs mine train
 Haunted mansion
 ","Time remaining: 00:00","Enchanted tales with belle","France","Hollywood and dine","","Princess fairytale hall","","Time remaining: 00:00","","","","","Karamel kuche","","Time remaining: 00:00","Time remaining: 00:00","","Ziploc","Siemens","","Dole","","Siemens","","Time remaining: 00:00","Unicef","Dole","","","","Hanes","Mcdonalds","Eastern airlinea","Time remaining: 00:00","Time remaining: 02:16","Patrick Warburton","Neil Patrick harris","Ellen DeGeneres","Martin short","Gilbert godfried","Robin williams","Time remaining: 02:16","","Felicia rechaud","","Alison janney","Michael jackson","Michael richards","Time remaining: 02:16","Judi dench","Rhea pearlman","","","Jon lovetz","","Time remaining: 02:16"
"2020-07-06 18:03:46","Time remaining: 00:00","Time remaining: 00:00","Splash mountain space mountain big thunder mountain railroad pirates of the Caribbean","Time remaining: 00:00","Enchanted tails with belle","France","Hollywood and come ","Magic carpets of aladdin","Snow Whites scary adventures","Cinderella's royal Carousel","Time remaining: 00:00","Africa","","","Mexico","","","Time remaining: 00:00","Time remaining: 00:08","General electric ","Ziploc","At&t","Rca","Kraft","United technologies ","Siemens","Kodak","Time remaining: 00:08","Mattel","","","","General motors ","Hanes","","Eastern","Time remaining: 00:08","Time remaining: 04:01","","","Ellen degeneres","Martin short ","","Robin williams","Time remaining: 04:01","","Phylecea rashad","","Allison janey","Michael jackson","","Time remaining: 04:01","Judi dench","Rhea perlman","","","Jon lovitz","","Time remaining: 04:00"
"2020-07-06 17:57:49","Time remaining: 00:00","Time remaining: 00:00","Splash Mountain 
 Space mountain 
 Big thunder 
 Buzz light years space ranger spin
 It’s a small world
 Dumbo
 Rock n rollercoaster
 Tower of terror
 Star tours
 Slinky dog dash
 Alien swirling saucers
 Flight of passage
 Navi river journey 
 Kilimanjaro safaris
 Expedition Everest
 Dinosaur
 Figment
 Frozen ever after
 Test track
 Pirates of the Caribbean 
 Jungle cruise","Time remaining: 01:26","Story time with belle","France","","Agrabah bazaar ","Princess fairytale hall","","Time remaining: 01:26","","","","","","","Time remaining: 01:26","Time remaining: 02:39","","Ziploc","","","","","","","Time remaining: 02:39","","","","","","","","","Time remaining: 02:39","Time remaining: 05:10","John Traviatas","Neil Patrick Harris ","","Teller","","","Time remaining: 05:10","","","","","Micheal Jackson ","","Time remaining: 05:10","","","","","","","Time remaining: 05:10"
"2020-07-06 17:53:09","Time remaining: 00:00","Time remaining: 00:00","","Time remaining: 00:00","","France","","","","","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 00:00","","","","","","","","","Time remaining: 00:00","","","","","","","","","Time remaining: 00:00","Time remaining: 01:53","Patrick","Neil Patrick Harris","","Martin Short","","Robin Williams","Time remaining: 01:53","","Phylicia Rashad","Michael","","Michael Jackson","Michael ","Time remaining: 01:53","Judi Dench","Rhea Perlman","Kevin","","John Lovick","","Time remaining: 01:53"
"2020-07-06 17:49:26","Time remaining: 00:00","Time remaining: 00:00","Haunted mansion
 Rest track
 Soaring
 Peter Pan
 Frozen
 Thunder miuntai
 Mine train
 Space mountain
 Splash mountain
 Tower of terror
 Rockin roller coaster
 Smugglers run
 Rise of the resistance
 Pirates of the Caribbean
 Pandora
 Buzz light year
 Jungle cruise
 Expedition Everest
 River rapids
 Dinosaur
 Spaceship earth
 Mission to Mars
 Mickey and Minnie runaway railroad
 Star tours
 Toy story mania
 Slinky dog dash ","Time remaining: 00:00","Belles castle ","France","","Store next to magic carpet ride","","King arthur","Time remaining: 00:00","Food and wine festival","","Camp Mickey and minnie","","Germany","","Time remaining: 00:00","Time remaining: 00:00","GE","Ziploc","Ford","Kodak","Nestle","","","Kodak ","Time remaining: 00:00","","","","","","Aerosmith","","Delta","Time remaining: 00:00","Time remaining: 02:31","Patrick warburton","Neil Patrick harris","Ellen degeneres","Martin short","Gilbert godfrey","Robin williams","Time remaining: 02:31","","Phllyisha rashad","","Alison Sweeney ","Michael jackson","Michael richardson","Time remaining: 02:31","Judy dench","Rhea Perlman ","Kevin ","Tone loc","Jon lovitz","","Time remaining: 02:30"
"2020-07-06 17:42:30","Time remaining: 00:00","Time remaining: 00:00","thunder mountain 
 sp;ash mountain
 haunted maninsion","Time remaining: 00:00","","","","","","","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 00:25","","","","","","","","","Time remaining: 00:25","","","","","","","","delta","Time remaining: 00:25","Time remaining: 03:38","","","ellen","","","robin williams","Time remaining: 03:38","","","","","","","Time remaining: 03:38"," dench","","","","","","Time remaining: 03:38"
"2020-07-06 17:41:08","Time remaining: 00:00","Time remaining: 00:00","Haunted mansion
 Rock n roller coaster
 Tower of terror
 Splash mountain
 Voyage of the little mermaid
 Expedition Everest 
 Festival of the lion king
 Space mountain
 Big thunder railroad
 Test track
 Mission space 
 Peter Pan
 Jungle cruise 
 Spaceship earth ","Time remaining: 00:00","","France","","Morocco","","","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 01:28","","Ziplock","Kodak","","","","","Kodak","Time remaining: 01:28","","","","","","","","","Time remaining: 01:28","Time remaining: 04:13","Patrick warburton","Neil Patrick Harris","","","","Robin Williams ","Time remaining: 04:13","","","","","Michael jackson","","Time remaining: 04:13","","","","","","","Time remaining: 04:13"
"2020-07-06 17:32:31","Time remaining: 00:00","Time remaining: 00:00","Peter Pan's Flight
 its a small world
 Space Mountain
 Splash Mountain
 Big Thunder Mountain
 Pirates of the Caribbean
 Haunted Mansion
 Many Adventures of Winnie The pooh
 Jungle Cruise
 Seven Dwarfs Mine Train
 Soarin Around The World
 Frozen Ever After
 Mission Space
 Test Track
 Gran Fiesta Tour
 Twilight Zone Tower of Terror
 Rock n Roller Coaster
 Toy Story Mania
 Alien Swirling Saucers
 Slinky Dog Dash
 Millennium Falcon Smuggler's Run
 Avatarr Flight of passage
 Na'vi River Journey
 Kilimanjaro Safari
 Exoedition Everest
 Kali River Riapids","Time remaining: 00:00","Enchanted Tales with belle","France Pavillion","Hollywood and Vine","Agrabah baqzaar","Princess Theater","Cinderella's Royal Table","Time remaining: 00:00","","","","Cinderella Castle","UK Pavillion","","Time remaining: 00:00","Time remaining: 01:05","","Kodak","","","","","Seimens","","Time remaining: 01:05","","Dole","","","General Motors","","McDonalds","","Time remaining: 01:05","Time remaining: 04:08","Patrick Warburton","Neil Patrick harris","Ellen Degeneres","Martin Short","Gilbert Gotttfried","Robin Williams","Time remaining: 04:08","","Phyllicia Rashad","","","Michael Jackson","Michael Richards","Time remaining: 04:08","Judi Dench","Howard Stern","Kecin Pollock","","Jon Lovitz","","Time remaining: 04:07"
"2020-07-06 17:27:58","Time remaining: 00:00","Time remaining: 00:00","","Time remaining: 00:00","Pin","France","","Morocco","","","Time remaining: 00:00","Miniature railway","Camp Minnie Mickey ","","","","","Time remaining: 00:00","Time remaining: 00:38","Kodak","Ziploc","Siemens","","Nestle","","Siemens","","Time remaining: 00:38","","","","","","","McDonald's","","Time remaining: 00:39","Time remaining: 03:35","Patrick Warburton","Neil Patrick harris","Ellen degeneeous","Martin short","Gilbert Godfried","Robin williams","Time remaining: 03:35","","Mrs huxtable","","Alison janie","Michael Jackson","Michael Richards ","Time remaining: 03:35","Judy dench","Weird Al yankovic. Obviously","","","Jon levowitz","","Time remaining: 03:34"
"2020-07-06 17:19:20","Time remaining: 00:00","Time remaining: 00:00","Test Track
 Living with the Land
 Mission Space
 Spaceship Earth
 Frozen Ever After
 Journey into Your Imagination with Figment
 Soarin
 Pirates
 Splash
 Big Thunder
 Haunted Mansion
 it's a small world
 Peter Pan's Flight
 7 dwarves mine train
 Journey with the Little Mermaid
 Princess Fairytale Hall
 Barnstormer
 Dumbo
 Speedway
 Buzz Lightyear Spin
 Tower of Terror
 Rockin Roller Coaster
 Beauty and the Beast Live
 Indiana Jones Stunt Spectacular
 Toy Story Midway Mania
 Muppet Vision 3-D
 Slinky Dog Dash
 Alien Swirling Saucer
 Flight of Passage
 Navi River JOurney","Time remaining: 00:00","Fairytale Stories with Belle","France","","Market","Princess Fairytale Hall","","Time remaining: 00:00","","","","","Germany","","Time remaining: 00:00","Time remaining: 00:00","","Ziploc","Siemans","","","United technology","Siemans","Kodak","Time remaining: 00:00","sylvania","","","Metlife","General Motors","Hanes","McDonalds","American Airlines","Time remaining: 00:00","Time remaining: 01:43","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Gotfried","Robin Williams","Time remaining: 01:43","Gina Torres","Phylicia Rashad","John Michael Higgins","Allison Janney","Michael Jackson","Michael Richards","Time remaining: 01:43","Judi Dench","Rhea Perlman","","","John Lovitz","","Time remaining: 01:42"
"2020-07-06 17:18:34","Time remaining: 00:00","Time remaining: 00:00","Splash 
 Space
 Big Thunder
 Mine Train
 Haunted Mansion
 Small World
 Peter Pan
 Test Track
 Soarin
 Frozen
 Seas with Nemo
 The Land
 Mission Space
 Flight of Passage
 Expedition Everest
 River
 Dinosaur
 Star Tours Tower of Terror
 Rockin Roller Coaster
  Smugglers Run
 ","Time remaining: 00:00","Belles","France","Hollywood & Vine","","Fairy Tale Hall","Carousel ","Time remaining: 00:00","Millennium Village","Discovery Island","","Cinderella Castle","Confectioners ","Trattoria ","Time remaining: 00:00","Time remaining: 00:00","GM","Carnation","At&T","McDonald Douglas","Nestle ","","Siemens","Mattel","Time remaining: 00:00","Nestle ","Minute Maid","GE","Blue Cross Blue Shield","GM","Hanes","Tyson","Delta Airlines ","Time remaining: 00:00","Time remaining: 03:33","Patrick Warburton","Neil Patrick Harris","Ellen Degeners","Martin Short","Gilbert Godfreid","Ribbon Williams","Time remaining: 02:56","","Felicia Ryshad","","","Michael Jackson","","Time remaining: 02:56","Judi Dench","","","","","","Time remaining: 02:55"
"2020-07-06 17:17:59","Time remaining: 00:00","Time remaining: 00:00","Space Mpuntain Splash Mtn, bTMR, dumbo, illuminations, soarin, frozen, Mickeys philharmagic, carousel, Peter Pan, small world, jungle cruise, rock and roller coaster, slinky dog dash, tower of terror, living seas ride, turtle talk, living with the land, spaceship earth, journey into imagination, oh Canada, el rio de tiempo ","Time remaining: 00:00","Enchanted tales with belle","France","","Adventureland veranda ","Snow White ","Cinderella’s Royal Table / king stefans banquet hall","Time remaining: 00:00","","","Dumbo","Japan pavilion","Germany","Cat Cora and then the Italian place at Bw :)","Time remaining: 00:00","Time remaining: 00:00","General Electric ","Glad sandwich bags","","","Nestle","","Siemens ","Kodak","Time remaining: 00:00","","","","","GM","","Heinz ","Eastern Airlines","Time remaining: 00:00","Time remaining: 01:20","Patrick warburton ","Neil Patrick harris","","Martin short","Gilbert godfried ","Robin Williams ","Time remaining: 01:20","","Phylicia Rashaad ","John Michael Higgins ","Allison janney ","Michael jackson","Michael Richards ","Time remaining: 01:20","Dame judi dench","Rhea perlman ","","","John lovitz ","Gary carter ","Time remaining: 01:19"
"2020-07-06 17:17:19","Time remaining: 00:00","Time remaining: 00:00","Spaceship Earth
 Living with the Land
 Imagination
 Soarin
 Seas with Nemo
 Test Track
 Mission Space
 Frozen Ever After
 RnR Coaster
 Tower of Terror
 MuppetVision
 Frozen Sing Along
 Slinky Dog Dash
 toy Story Midway Mania
 Alien Swirling Saucers
 Mickey's Runaway Railway
 Smuggler's Run
 Kali River Rapid
 Everest
 Festival of Lion King
 Nemo Musical
 Dinosaur
 Flights of Passage
 Navi River Journey
 Primeval Whirl
 Tough to Be a Bug
 Splash Mountain
 Thunder Mountain
 Space Mountain
 Buzz LIghtyear Spaceranger Spin
 small world
 Peter Pan
 Pirates
 Haunted Mansion
 7D mine train
 Jungle Cruise
 Winnie the Pooh
 Meet Mickey
 Meet Tink
 Princess Fairy Tale Hall
 Dumbo
 Barnstormer
 Laugh Floor
 Mickeys Philharmagic","Time remaining: 00:00","Enchanted Tales with Belle","France","","Bazaar","Fairytale Princess Hall","Cinderella's Royal Table","Time remaining: 00:00","Millenium Village","","Epcot Character Spot","Cinderella's Royal Table","Germany","","Time remaining: 00:00","Time remaining: 00:00","General Electric","Ziploc","Bell Systems","RCA","Kraft","United Technologies","GE","Kodak","Time remaining: 00:00","mattel","United Air","","MetLife","General Motors","","mcdonalds","Eastern Air","Time remaining: 00:00","Time remaining: 03:37","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Gottfiried","Robin Williams","Time remaining: 03:37","","Phylicia Rashad","Michael Higgins Clark","Allison Janney","Michael Jackson","Michael Richards","Time remaining: 03:37","Dame Judi Dench","Rhea Perlman","Kevin Pollak","Tone Loc","jon lovitz","gary carter","Time remaining: 03:36"
"2020-07-06 17:15:54","Time remaining: 00:00","Time remaining: 00:00","Tower of terror
 Space mountain
 Splash mountain
 Thunder Mountain
 Buzz lightest add to blasters
 Peter pan
 Winnie the pooh
 7 dwarves mine train
 Fantasmic
 Rock n rollercoaster
 Flight of passage
 Navi river journey
 Kilamajaro Safari
 Jungle cruise
 Kali river rapids
 Expedition Everest
 Frozen ever after
 Soarin
 Test track
 Mission space
 The seas with Nemo and friends
 Autopia","Time remaining: 00:00","Belles library","France","","Bazaar","Princess fairytale hall","","Time remaining: 00:00","","","Dumbo","Pirates of the carribbean","Haus (Germany epcot pavillion)","","Time remaining: 00:00","Time remaining: 01:08","","Zip lock","Alamo","","Kodak","","Pandora","","Time remaining: 01:08","","","Alamo","","","","Mcdonalds","","Time remaining: 01:08","Time remaining: 04:33","","Neil patrick harris","Ellen de generes","Martin short","","Liam neeson","Time remaining: 04:33","","","","","Michael jackson","","Time remaining: 04:33","Came judy dench","","","","","","Time remaining: 04:33"
"2020-07-06 17:11:49","Time remaining: 00:00","Time remaining: 00:00","Safari ride, test track, haunted mansion, bad river ride @pandora, the flying one @pandora, slinky dog, toy story mania, 7 dwarf mine train, fantasia, rivers of light, whatever the Epcot night time show is, philharmagic?, bug life,","Time remaining: 00:00","Be our guest","France","","","Cinderella","","Time remaining: 00:00","","","","Small world","7 mines","","Time remaining: 00:00","Time remaining: 00:00","Nasa","Didn't have one in 2018","","","","","","","Time remaining: 00:00","Electrical motors","","","","","Kiss","","","Time remaining: 00:00","Time remaining: 02:51","Kronk","Neil Patrick harris","... Is this Ellen?? ","","","Robin willams","Time remaining: 02:51","","","","","Michael jackson","","Time remaining: 02:51","Dame Judy dench","","","","","","Time remaining: 02:51"
"2020-07-06 17:08:24","Time remaining: 00:00","Time remaining: 00:00","Expediton Everest
 Kali river rapids
 Dinosaur
 Flight of passage 
 Navi river journey
 Kilminjaro safari
 Rockin roller coaster 
 Tower of terror
 Toy story mania
 Slinky dog dash
 Alien swirling saucers
 Smugglers run
 Spaceship earth
 Soarin
 Test track
 Mission space 
 The seas with Nemo and friends
 Living with the land 
 Frozen ever after
 Space mountain
 Splash mountain
 Big thunder mountain
 Pirates of the Caribbean 
 Haunted mansion
 Jungle cruise
 Seven dwarves mine train
 Buzz light year  ","Time remaining: 00:00","","France","Hollywood and vine","Adventureland bazaar ","Princess fairytale hall","Cinderella’s royal table","Time remaining: 00:00","World showplace ","","Ariel’s grotto","","Germany ","1900 Park fare","Time remaining: 00:00","Time remaining: 00:26","","Ziplock","Bell telephone ","RCA","Kraft","","Siemens","Kodak","Time remaining: 00:26","UNICEF","Dole","","Metlife ","Ford","Levis ","Mcdonalds","","Time remaining: 00:26","Time remaining: 03:56","Patrick Warburton ","Neil Patrick Harris","Ellen DeGeneres ","Martin Short","Gilbert Gotfriet","Robin williams","Time remaining: 03:56","","Phycilla Rashed","John Michael higgins","Allison Janney","Michael Jackson","Michael Richards","Time remaining: 03:56","Dame Judy Dench","Rhea Pherlman","","","Jon Lovitz","Gary Carter","Time remaining: 03:56"
"2020-07-06 17:05:11","Time remaining: 00:00","Time remaining: 00:00","Space mountain, splash montain, BTM, Hanuted Mansion, Peter Pans Flight, Buzz Lightyear, Test Track, Soarin, Living with the Land, Frozen, Spaceship Earth, Rock N Rollercoaster, Tower of Terror, Slinky Dig Dash, Alien saucers, flight of passage, Navi river journey, expedition Everest, toy story mania, smugglers run, rise of the resistance, star tours, seven dwarfs mine train, barnstormer, Nicky and minnies runaway railway","Time remaining: 00:00","","","","Frontier Trading Post","","","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 00:00","GE","Ziploc","Bell","RCA","Kraft","","Siemans ","","Time remaining: 00:00","","","","","","Hanes","","","Time remaining: 00:00","Time remaining: 00:15","Patrick Warburton","Neil Patrick Harris","Ellen Degenerous ","","Gilbert Gottfried","Robin Williams","Time remaining: 00:15","","Phylicia Rashad","","","Michael Jackson","Michael Richards","Time remaining: 00:15","","","","Ja Rule","John Lovitz","","Time remaining: 00:15"
"2020-07-06 16:53:24","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Seven dwarves mine train
 Peter pan’s flight
 It’s a small world
 Frozen
 Spaceship earth
 Dumbo
 Pirates of the Caribbean 
 Soarin
 Test track
 Slinky dog dash
 Toy story mania
 Tower of terror
 Rockin roller coaster
 Mickey’s philharmagic
 Little mermaid
 The barnstormer 
 The jungle cruise
 Splash mountain
 The teacups","Time remaining: 00:00","Belle","French","","Agatha ","Snow White ","Prince Phillip ","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 01:13","At&t","","GE","","GE","","","","Time remaining: 01:13","","","","","","","","","Time remaining: 01:13","Time remaining: 03:55","","Neil Patrick Harris","Ellen Degeneres","Martin short","Gilbert Godfreid","Robin Williams ","Time remaining: 03:55","","Phylicia Rashad","","Allison Janey","Michael jackson","Richards","Time remaining: 03:55","Just Dench","Rhea Pearlman","","","Jon Lovitz","","Time remaining: 03:54"
"2020-07-06 16:53:19","Time remaining: 00:00","Time remaining: 00:00","Jungle cruise
 Pirates of the carribean
 Magic carpets of Aladdin
 Splash mountain
 Big thunder mountain railroad
 Haunted mansion
 Peter Pan
 Small world
 Philharmagic
 Story time with belle
 Seven dwarves minetrain
 Pooh
 Little mermaid
 Barnstormer
 Dumbo
 Tomorrowland speedway
 Space Mountain
 Buzz light year
 Monsters inc
 Fairytale hall
 Meet Mickey on main street
 Meet tinker bell on main street
 Pete’s silly side show","Time remaining: 00:00","Story time with Belle","France","Hollywood and vine","Agrobah bazaar","Princess fairytale hall","","Time remaining: 00:00","The beer garden","discovery island","","Pirates of the Caribbean ","Germany","Trattoria al forna","Time remaining: 00:00","Time remaining: 00:00","","Ziploc","","","","","","","Time remaining: 00:00","","","","","Gm","","","","Time remaining: 00:00","Time remaining: 03:18","Patrick warburton","Neil Patrick harris","Ellen degeneres","Martin short","Gilbert godfrey","Robin williams","Time remaining: 03:18","","Phylicia Rashad","","","Michael jackson","","Time remaining: 03:12","Dame Judy dench","","","","John lovitz","","Time remaining: 03:12"
"2020-07-06 16:49:48","Time remaining: 00:00","Time remaining: 00:00","Small world
 Space mountain
 Splash mountain 
 Pirates
 Jungle cruise
 Buzz light year
 Tomorrowland speedway
 Teacups
 Frozen ever after
 Test track
 Soarin
 Expedition Everest
 Dinosaur
 Kilimanjaro safaris
 Flight of passage
 Navi river journey 
 Finding Nemo the musical
 Spaceship earth
 Rockin roller coaster
 Tower of terror
 Slinky dog dash
 Alien swirling saucers
 Festival of the lion king
 Big thunder mountain 
 Peter Pan
 Haunted mansion
 Star tours
 Dumbo 
 Seven dwarves mine train
 Winnie the Pooh 
 Fantasmic
 Frozen sing a long
 Voyage of the little mermaid
 Indiana Jones stunt spectacular 
 Toy story mania 
 Barnstormer
 Rivers of light 
 Adventures outpost
 It’s tough to be a bug 
 Kali river rapids
 Smugglers run
 Living with the land
 The living seas finding Nemo
 Royal summerhaus","Time remaining: 00:00","Enchanted tales with belle","France","Hollywood and vine","Agrabah bazaar","Princess fairytale hall","","Time remaining: 00:00","","Discovery island","Dumbo","Tom Sawyer island","Germany","Kouzzina","Time remaining: 00:00","Time remaining: 00:00","GE","Ziploc","Bell system","Rca","Kraft","United technologies","Siemens","Kodak","Time remaining: 00:00","Mattel ","United airlines","","Met life insurance ","General Motors ","Hanes","McDonald’s","Eastern air lines","Time remaining: 00:00","Time remaining: 03:09","Patrick warburton","Neil Patrick Harris","Ellen","Martin short","Gilbert gottfried","Robin williams","Time remaining: 03:09","Gina Torres ","Phylicia rashad","","","Michael Jackson ","","Time remaining: 03:09","","","","","","","Time remaining: 03:09"
"2020-07-06 16:49:16","Time remaining: 00:00","Time remaining: 00:00","","Time remaining: 00:00","Enchanted Tales with Belle","France","Hollywood and Vine","Adventureland Bazaar","Princess Fairytale Hall","Cinderella’s Royal Table","Time remaining: 00:00","Royal Summerhus","Camp Minnie Mickey","","","Germany","","Time remaining: 00:00","Time remaining: 00:01","General Electric","Ziploc","Bell Systems","RCA","Kraft","United Systems","Siemens","","Time remaining: 00:01","Hasbro","Florida Citrus Coalition","Goodyear","Metlife","General Motors","Hanes","McDonald’s","Eastern Airlines","Time remaining: 00:01","Time remaining: 03:43","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 03:43","Gina Torres","Phylicia Rashad","John Michael Higgins","Allison Janney","Michael Jackson","Michael Richards","Time remaining: 03:43","Dame Judi Dench","Rhea Perlman","Kevin Pollak","Tone Loc","Jon Lovitz","Wonders of Life Coach’s Corner","Time remaining: 03:43"
"2020-07-06 16:47:25","Time remaining: 00:00","Time remaining: 00:00","Splash Mountain
 Thunder Mountain
 Space Mountain
 Buzz Lightyear Ranger Spin
 Test Track
 Mission: Space
 Frozen
 Primeval Whirl
 Avatar
 Avatar river
 Everest
 Star Wars Smuggler’s Run
 Tower of Terror
 Rock ‘n Rollercoaster
 Toy Story","Time remaining: 02:26","","","","","","","Time remaining: 02:26","","","","","","","Time remaining: 02:26","Time remaining: 03:03","","","","","","","","","Time remaining: 03:03","","","","","","","","","Time remaining: 03:03","Time remaining: 05:16","","Neil Patrick Harris","","","","Robin Williams","Time remaining: 05:16","","","","","Michael Jackson","","Time remaining: 05:16","","","","","","","Time remaining: 05:15"
"2020-07-06 16:46:25","Time remaining: 00:00","Time remaining: 00:00","Tomorrowland Speedway
 Space Mountain
 Buzz Lightyear Astro Blasters
 Barnstormer
 Dumbo
 Jungle Cruise
 Pirates of the Caribbean
 Splash Mountain
 Big Thunder Mountain
 Haunted Mansion
 Peter Pan's Flight
 It's a Small World
 7 Dwarf's Mine Train
 Voyage of the Little Mermaid
 Mickey's Philharmagic
 Princess Royal Meet and Greet
 Journey Into Imagination
 Spaceship Earth
 Test Track
 Seas with Nemo and Friends
 Turtle Talk with Crush
 Living With the Land
 Soarin'
 Flights of Passage
 Expedition Everest
 Dinosaur
